feature,importance
V14,0.18960140609253426
V4,0.11097855249355701
V10,0.11094754733647734
V12,0.09731885672310449
V17,0.07956273939290398
V11,0.05976318569891988
V16,0.0564055051770851
V3,0.055640149304564374
V2,0.03187996281780375
V7,0.021499349483974632
V9,0.02011996080224228
V21,0.017225621342457496
V8,0.01475029285210016
V18,0.011813303298601226
V27,0.011797009555571782
Amount,0.010646730031229297
V5,0.010486774054969814
V19,0.010383194852673376
V1,0.009383309252004037
V13,0.009275450238459555
V26,0.008686140547499716
V20,0.00814908718578145
Time,0.006940651164469945
V28,0.0064232004947895275
V15,0.005619985557803481
V6,0.005177837810975863
V25,0.005056786525478051
V22,0.004978620317280221
V24,0.0049134516097849145
V23,0.004575337984902991
